@relation dmTraining

@attribute deviceType {1,2,3,4,5,6}
@attribute textProbability numeric
@attribute tweetRatio numeric
@attribute chiSquaredMin numeric
@attribute chiSquaredSec numeric
@attribute entropyHours numeric
@attribute entropyMin numeric
@attribute entropySec numeric
@attribute accountRep numeric
@attribute urlRatio numeric
@attribute hashtagRatio numeric
@attribute mentionRatio numeric
@attribute retweetRatio numeric
@attribute mobileDevice numeric
@attribute webDevice numeric
@attribute appDevice numeric
@attribute miscDevice numeric
@attribute botDevice numeric
@attribute otherDevice numeric
@attribute class_attr {0,1}

@data
3,0.92,0.118125,0.171729,0.387989,0.701787,0.971442,0.972179,0.234848,0.797583,0.359517,0.021148,0.124339,0.312169,0.026455,0.65873,0,0,0.002646,1
1,0.09,1.001562,0.706129,0.875748,0.252816,0.945381,0.997498,0.803419,0.510264,0.127775,0.65731,0.255226,0.918877,0.081123,0,0,0,0,0
5,1,1.015313,0.42284,0.103661,0,0.327364,0.989441,0.999951,1,0.000308,0.953832,0,0,0,0,0,1,0,1
1,0.02,1.003437,0.477908,0.649682,0.425311,0.963184,0.998236,0.282946,0.196162,0.271215,0.671642,0.269698,0.767362,0.192775,0.012146,0.005294,0,0.022423,0
2,0,1.005313,0.496062,0.956345,0.314605,0.932717,0.99773,0.381757,0.154563,0.106796,0.458641,0.199565,0.547404,0.442648,0.000933,0.009015,0,0,0
3,0.02,0.990625,0.000009,0.520571,0.233055,0.669491,0.988554,0.25,0.13109,0.048724,0.409513,0.728076,0.94858,0.023344,0.02776,0,0,0.000315,0
2,0.02,0.449062,0.932353,0.815925,0.515276,0.988179,0.995465,0.31108,0.461847,0.606426,0.648996,0.133612,0.012526,0.980515,0,0.006959,0,0,0
2,0,0.986875,0.040283,0.928307,0.02215,0.596185,0.994959,0.722856,0.063485,0.011821,0.966725,0.276757,0.764091,0.228626,0,0.00475,0.002533,0,0
1,0,0.019375,0.050549,0.452117,0.355153,0.730162,0.872183,0.173913,0.016393,1.47541,0.131148,0.016129,0.983871,0.016129,0,0,0,0,0
2,0,1.005625,0.000319,0.776219,0.05979,0.600502,0.994791,0.668911,0.057377,0.005855,1.613193,0.203853,0.184587,0.813238,0,0,0,0.002175,0
1,0.03,1.01,0.091731,0.850571,0.365597,0.898089,0.997279,0.727252,0.082051,0.227692,0.981026,0.396658,0.460396,0.518874,0.000309,0,0,0.020421,0
1,0,0.965625,0.001645,0.036332,0.066423,0.617529,0.988686,0.296875,0.022385,0.010964,1.043856,0.291586,0.999353,0.000647,0,0,0,0,0
2,0.02,0.342187,0.062306,0.521138,0.378423,0.907996,0.99361,0.693431,0.069869,0.029476,1.159389,0.16347,0.094064,0.90411,0.001826,0,0,0,0
1,0,1.014375,0.250122,0.033684,0.1929,0.879413,0.998337,0.513846,0.206349,0.12666,1.05507,0.048983,0.910967,0.069624,0.000308,0.00154,0,0.01756,0
2,0,1.009688,0.238849,0.574719,0.243666,0.891902,0.996208,0.691589,0.175812,0.010469,0.881227,0.14268,0.57165,0.423708,0,0.004024,0,0.000619,0
2,0.025,0.489375,0.014719,0.558111,0.505709,0.911313,0.995353,0.390354,0.817661,1.58381,0.243663,0.219029,0.066411,0.925287,0,0.008301,0,0,0
1,0,1.008438,0.160695,0.029073,0.163516,0.84152,0.997467,0.555817,0.167515,0.009448,0.708212,0.147196,0.995352,0.00124,0.003099,0,0,0.00031,0
5,0.5,1.014687,0,0.693062,0.309983,0.950864,0.994116,0.996324,0,0,0,0,0,0,0,0,1,0,1
1,0.095,0.719661,0.265033,0.477467,0.374212,0.862417,0.974956,0.501611,0.353523,0.569638,0.678683,0.262357,0.596402,0.232113,0.112861,0.035844,0.010788,0.011993,0
1,0.01,1.002188,0.078922,0.00374,0.386953,0.896479,0.997455,0.472868,0.13642,0.17288,0.239656,0.238853,0.862176,0.111943,0.025881,0,0,0,0
1,0.01,0.213125,0.108035,0.896087,0.438747,0.913212,0.987674,0.460227,0.118467,0.114983,0.818815,0.579179,0.985337,0.014663,0,0,0,0,0
1,0,0.999375,0.001937,0.208753,0.022848,0.352428,0.959114,0.792157,0.470449,0.031521,5.383767,0.603189,0.996873,0,0.000313,0.002814,0,0,0
2,0,1.000312,0.031523,0.36214,0.017326,0.26717,0.995746,0.738095,0.210761,1.11549,2.82111,0.08841,0,1,0,0,0,0,0
1,0,1.007813,0.005653,0.074142,0.066428,0.77754,0.996861,0.606577,0.082046,0.041943,1.292494,0.157209,0.052403,0.947597,0,0,0,0,0
1,0,1.0075,0.252953,0.960108,0.209788,0.83555,0.997112,0.556833,0.020134,0.11729,0.798019,0.029467,0.512407,0.486352,0.000931,0,0,0.00031,0
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
1,0.04,0.984688,0.014001,0.612369,0.225736,0.635653,0.995854,0.224895,0.137993,4.484767,0.077957,0.645827,0.953666,0.019676,0.026658,0,0,0,0
5,0.91,1.01375,0,0,0.001353,0.509547,0.645598,0.97671,0.904881,2.302879,0.072278,0.014797,0,0,0,0,1,0,1
1,0.04,1.0125,0.02907,0.206781,0.11209,0.755707,0.996713,0.75,0.280747,0.040996,0.422418,0.405247,0.991358,0.008642,0,0,0,0,0
2,0,0.719661,0.265033,0.477467,0.374212,0.862417,0.974956,0.501611,0.353523,0.569638,0.678683,0.262357,0.596402,0.232113,0.112861,0.035844,0.010788,0.011993,0
1,0.01,0.521563,0.033408,0.054961,0.467897,0.842477,0.994154,0.510638,0.745229,1.599237,0.224237,0.372079,0.571001,0.213301,0.188137,0,0,0.027561,0
1,0.05,0.965625,0.001645,0.036332,0.066423,0.617529,0.988686,0.296875,0.022385,0.010964,1.043856,0.291586,0.999353,0.000647,0,0,0,0,0
3,0.04,0.334688,0.001099,0.196519,0.499286,0.966347,0.991636,0.304465,0.758357,2.397326,0.13276,0.022409,0.013072,0.365079,0.065359,0.461251,0,0.095238,0
2,0.07,0.987812,0,0.495625,0.059884,0.337363,0.965492,0.173763,0.757324,0.058592,0.023174,0.276495,0.037646,0.962354,0,0,0,0,0
1,0.16,1.000312,0.005922,0.230256,0.248991,0.906648,0.996539,0.513716,0.20453,0.866507,0.990391,0.089659,0.741956,0.241175,0.01687,0,0,0,0
1,0,1.0125,0.527253,0.635278,0.26521,0.895336,0.99681,0.456038,0.13573,0.166178,1.490829,0.158642,0.98642,0.012654,0.000926,0,0,0,0
5,1,1.015313,0.42284,0.103661,0,0.327364,0.989441,0.999951,1,0.000308,0.953832,0,0,0,0,0,1,0,1
1,0,0.995,0.646438,0.014995,0.212251,0.852282,0.997215,0.551257,0.323104,0.023986,0.209171,0.109611,0.985239,0.002513,0.005339,0,0.00691,0,0
1,0.06,1.002813,0.485131,0.531019,0.337271,0.964797,0.998361,0.942361,0.517241,0.518093,1.630907,0.267996,0.444064,0.542848,0.008414,0.004363,0,0.000312,0
1,0.02,1.001562,0.706129,0.875748,0.252816,0.945381,0.997498,0.803419,0.510264,0.127775,0.65731,0.255226,0.918877,0.081123,0,0,0,0,0
3,0.02,1.012812,0.002451,0.204737,0.38133,0.945236,0.997329,0.607881,0.994752,1.622171,0.372909,0.059241,0.073743,0,0.925949,0,0,0.000309,0
3,0.01,0.8975,0.129747,0.171874,0.499856,0.987473,0.997944,0.333851,0.943894,0.335396,0.064356,0.155989,0.243733,0.046309,0.697423,0,0,0.012535,0
