@relation metaDMTraining

@attribute textProbability numeric
@attribute deviceType {1,2,3,4,5,6}
@attribute isReply {0,1}
@attribute isRetweet {0,1}
@attribute hashtagDensity numeric
@attribute urlDensity numeric
@attribute mentionDensity numeric
@attribute accountRep numeric
@attribute statusesPerDay numeric
@attribute favoritesPerDay numeric
@attribute class_attr {0,1}

@data
0.96,3,0,0,0,0.142857,0,0.207143,0.165097,0.053545,1
0.11,1,0,0,0,0.076923,0.076923,0.796436,21.82501,20.022699,0
0.99,5,1,0,0,0.125,0.125,0.999945,280.552647,0.001707,1
0,1,0,0,0,0,0.375,0.286874,2.822715,2.198338,0
0,2,0,0,0,0.2,0,0.390071,3.607857,4.372846,0
0.01,3,0,0,0,0.055556,0,0.253247,9.48137,0.12591,0
0.09,2,0,0,0.055556,0.055556,0,0.312069,1.624526,2.135272,0
0.01,2,1,0,0,0,0,0.741481,39.484043,16.414894,0
0.01,1,0,0,0.636364,0,0,0.149254,0.055901,0.088199,0
0,2,1,0,0,0,0.5,0.580911,15.573904,5.799185,0
0.04,1,1,0,0,0,0.041667,0.72748,5.975682,0.144923,0
0,1,1,0,0,0,0.2,0.290445,49.254902,0.372549,0
0.01,2,1,0,0,0.055556,0.166667,0.685504,1.438898,0.467728,0
0,1,0,0,0,0,0,0.495671,8.539699,0.552641,0
0,2,1,0,0,0,0.25,0.654362,9.014894,34.170213,0
0.04,2,0,0,0.416667,0.083333,0,0.386805,0.583492,0.028148,0
0.01,1,0,0,0,0,0,0.545991,28.36897,3.445893,0
0.57,5,0,0,0,0,0,0.99633,10.870819,0,1
0.06,1,0,0,0,0.0625,0,0.105274,20.19378,0.116883,0
0,1,0,0,0,0,0,0.466667,5.061515,0.922338,0
0.01,1,1,0,0,0,0.142857,0.391061,0.501066,12.509595,0
0,1,1,0,0,0,0.6,0.726283,58.360656,54.934426,0
0,2,1,0,0.083333,0,0.833333,0.685185,99.401869,0.557632,0
0,1,1,0,0,0,0.142857,0.588235,14.194037,13.620515,0
0,1,0,0,0,0,0,0.552597,7.118808,0.581479,0
1,3,0,0,0,0,0,1,216.512061,0,1
1,3,0,0,0,0,0,1,213.59736,0,1
0,1,0,0,0.037037,0,0,0.222814,9.790947,1.441904,0
0.93,5,1,0,0,0.076923,0,0.975897,137.862222,0.002222,1
0.04,1,0,0,0,0,0,0.737828,44.030242,52.234879,0
0,2,1,0,0,0,0.333333,0.733514,16.667925,110.079245,0
0.02,1,0,0,0.222222,0,0,0.516184,0.571939,0.07533,0
