@relation dmTraining

@attribute deviceType {1,2,3,4,5,6}
@attribute textProbability numeric
@attribute tweetsPerDay numeric
@attribute favoritesPerDay numeric
@attribute tweetRatio numeric
@attribute chiSquaredMin numeric
@attribute chiSquaredSec numeric
@attribute entropyHours numeric
@attribute entropyMin numeric
@attribute entropySec numeric
@attribute accountRep numeric
@attribute urlRatio numeric
@attribute hashtagRatio numeric
@attribute mentionRatio numeric
@attribute retweetRatio numeric
@attribute replyRatio numeric
@attribute mobileDevice numeric
@attribute webDevice numeric
@attribute appDevice numeric
@attribute miscDevice numeric
@attribute botDevice numeric
@attribute otherDevice numeric
@attribute class_attr {0,1}

@data
3,0.96,0.165097,0.053545,0.0625,0.794289,0.119487,0.66354,0.944149,0.955113,0.234848,0.891026,0.717949,0.012821,0.22,0.01,0.335,0,0.665,0,0,0,1
1,0.11,21.82501,20.022699,0.0625,0.313374,0.992093,0.229791,0.894054,0.975612,0.807316,0.582192,0.171233,0.760274,0.27,0.3,1,0,0,0,0,0,0
5,0.99,280.552647,0.001707,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
1,0,2.822715,2.198338,0.0625,0.728599,0.445993,0.386893,0.944906,0.970195,0.276035,0.398438,0.101563,0.617188,0.36,0.255,0.995,0.005,0,0,0,0,0
2,0,3.607857,4.372846,0.0625,0.095395,0.075584,0.190399,0.824482,0.949143,0.37987,0.333333,0.111111,0.766082,0.145,0.59,0.31,0.69,0,0,0,0,0
3,0.01,9.48137,0.12591,0.0625,0.007049,0.40249,0.372779,0.792618,0.956131,0.250321,0.072727,0.018182,0.6,0.725,0.17,0.985,0,0.015,0,0,0,0
2,0.09,1.624526,2.135272,0.0625,0.238006,0.491436,0.429844,0.941364,0.963897,0.308564,0.436464,0.475138,0.685083,0.095,0.345,0,0.93,0,0.07,0,0,0
2,0.01,39.484043,16.414894,0.0625,0.075584,0.878648,0.034071,0.609046,0.970146,0.721373,0.070922,0,1.205674,0.295,0.53,0.455,0.545,0,0,0,0,0
1,0.01,0.055901,0.088199,0.019375,0.050549,0.452117,0.355153,0.730162,0.872183,0.161765,0.016393,1.47541,0.131148,0.016129,0.112903,0.983871,0.016129,0,0,0,0,0
2,0,15.573904,5.799185,0.0625,0.052605,0.682104,0.085036,0.566942,0.966786,0.666292,0.04908,0.006135,1.96319,0.185,0.79,0.45,0.55,0,0,0,0,0
1,0.04,5.975682,0.144923,0.0625,0.332036,0.061916,0.438441,0.900776,0.956826,0.727273,0.106509,0.390533,0.769231,0.155,0.33,0.715,0.285,0,0,0,0,0
1,0,49.254902,0.372549,0.06125,0.04849,0.726347,0.159033,0.75249,0.960152,0.464802,0,0,1.284091,0.102041,0.892857,1,0,0,0,0,0,0
2,0.01,1.438898,0.467728,0.0625,0.017072,0.245676,0.295866,0.872339,0.966568,0.696172,0.147059,0.029412,1.286765,0.32,0.54,0.145,0.85,0.005,0,0,0,0
1,0,8.539699,0.552641,0.0625,0.634388,0.445993,0.191465,0.844408,0.959624,0.515768,0.363158,0.173684,1.426316,0.05,0.63,0.86,0.115,0,0,0,0.025,0
2,0,9.014894,34.170213,0.0625,0.128573,0.562222,0.256236,0.852531,0.957574,0.723238,0.184049,0,1.245399,0.185,0.6,0.56,0.39,0.005,0.045,0,0,0
2,0.04,0.583492,0.028148,0.0625,0.202264,0.479916,0.562726,0.937677,0.962423,0.392446,0.917582,1.769231,0.818681,0.09,0.04,0.03,0.97,0,0,0,0,0
1,0.01,28.36897,3.445893,0.0625,0.351369,0.562222,0.108028,0.747752,0.969756,0.56213,0.218579,0.010929,0.79235,0.085,0.545,0.99,0,0.01,0,0,0,0
5,0.57,10.870819,0,0.0625,0.030376,0.955381,0.30561,0.919332,0.959324,0.996324,0,0,0,0,0,0,0,0,0,1,0,1
1,0.06,20.19378,0.116883,0.060032,0.305297,0.475304,0.384098,0.839674,0.943585,0.503899,0.421451,0.610212,0.705515,0.28134,0.255893,0.62107,0.199681,0.132426,0.027431,0.011699,0.007693,0
1,0,5.061515,0.922338,0.0625,0.32262,0.209068,0.434231,0.916666,0.954429,0.475452,0.062069,0.165517,0.096552,0.275,0.055,0.895,0.1,0.005,0,0,0,0
1,0.01,0.501066,12.509595,0.060032,0.305297,0.475304,0.384098,0.839674,0.943585,0.503899,0.421451,0.610212,0.705515,0.28134,0.255893,0.62107,0.199681,0.132426,0.027431,0.011699,0.007693,0
1,0,58.360656,54.934426,0.0625,0,0.794289,0.022728,0.298742,0.934626,0.804592,0.405405,0,5.027027,0.63,0.36,1,0,0,0,0,0,0
2,0,99.401869,0.557632,0.0625,0.069829,0.909108,0.020322,0.213688,0.92605,0.762115,0.022989,0.982759,0.183908,0.13,0.015,0,1,0,0,0,0,0
1,0,14.194037,13.620515,0.0625,0.586234,0.945659,0.058779,0.760785,0.970842,0.608646,0.127907,0.052326,1.383721,0.14,0.82,0,1,0,0,0,0,0
1,0,7.118808,0.581479,0.0625,0.794289,0.610318,0.222528,0.763214,0.964879,0.555839,0.026882,0.11828,0.591398,0.07,0.495,0.805,0.195,0,0,0,0,0
3,1,216.512061,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
3,1,213.59736,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
