@relation tcTraining

@attribute text string
@attribute class_attr {0,1}

@data
'user revise their reserve estimates due to lower oil and gas prices what will user do in tomorrows review url',0
'user god takes the prime directive too seriously',0
'user user i hope this makes you feel good hun',0
'user user user user user user user user same url',0
'its number out media',0
'my wonderful colleague is having lunch at fabulous brook hotels arlanda hashtag media',0
'full time watford number afc wimbledon goals poleon number min deeney number min poleon number min amrabat number min media',0
'wind number ms e barometer number hpa falling quickly temperature number c rain today number mm humidity number',1
'user before your press conference today make sure you take a shower 🚿 so you look your best 😂😩 hashtag',0
'wind number ms sw barometer number hpa rising slowly temperature number c rain today number mm humidity number',1
'wind number ms ese barometer number hpa rising slowly temperature number c rain today number mm humidity number',1
'ive never been drunk what does that feel like',0
'hashtag is on hashtag and going strong 💪 what do you think of todays groove use headphones url',0
'wind number ms ene barometer number hpa falling very rapidly temperature number c rain today number mm humidity number',1
'same narratives appear also in certain circles in finland too many people playing the kremlins game for personal g url',0
'people complaining about the tube strike ever been up north lmao',0
'user rouge number media',0
'wind number ms se barometer number hpa falling very rapidly temperature number c rain today number mm humidity number',1
'♫ your love ♪ by user url media',1
'user but he is',0
'hashtag hashtag number reasons i 💙bts number suga rap god toolyrical genioussassy af😉kindtoungue technology media',0
'user user user user user user user user not number nite cuzzy another arctic storm',0
'user thanks the same to you ingo👑⭐👨🏻🎊🥂 media',0
'user user feed me gorgonzola',0
'an icelandic horse bit me ☹️🐴 hashtag hashtag',0
'back at it again hashtag blodcentralen url',0
'wow i havent sleept or eaten since last year xnumber',0
'smile never let your problems destroy you',0
'that will be one to visit in number url',0
'what i meant with it didnt exist any associations i didnt embrace any associations at that moment',0
'omg im dz and may i say ali zafar is dangerously hot😍 and srk with the stubble uff😍😍',0
'theyre so damn cute my entire childhood 😭😭 url',0
'♫ something in the way ♪ by user url media',1
'user greetings from joonas',0
'user user user user user hell yeah cuh i just finished my turkey soup hashtag',0
'safari on ios needs pull down to refresh',0
'wind number ms nne barometer number hpa falling slowly temperature number c rain today number mm humidity number',1
'wind number ms sw barometer number hpa rising quickly temperature number c rain today number mm humidity number',1
'pooch stole my fight moves url',0
'wind number ms ene barometer number hpa falling slowly temperature number c rain today number mm humidity number',1
'just watched some guy get his brazil shirt signed by marta at fifa awards and he says muchas graciasshe speaks portuguese you weapon 😂',0
'user number dagar innan han blivit president didnt see that one coming grattis',0
'its all about the free super speedy wifi and good coffee user dropped in to do a spot of url',0
'goodnight 🌟',0
'happy late new year everyone 🎉 heres waterfall skogafoss 🇮🇸 hashtag hashtag url',0
'wind number ms e barometer number hpa falling temperature number c rain today number mm humidity number',1
'♫ say you wont let go ♪ by user url media',1
'user youre featured on url by user url',0
